"","x"
"repli",0.0398009950248756
"ritual",0.0398009950248756
"rock",0.0398009950248756
"said",0.0398009950248756
"san",0.0398009950248756
"shadow",0.0398009950248756
"shop",0.0398009950248756
"skeleton",0.0398009950248756
"sky",0.0398009950248756
"spacecraft",0.0398009950248756
"spray",0.0398009950248756
"stake",0.0398009950248756
"stare",0.0398009950248756
"struck",0.0398009950248756
"super",0.0398009950248756
"survey",0.0398009950248756
"suspici",0.0398009950248756
"tank",0.0398009950248756
"tree",0.0398009950248756
"trio",0.0398009950248756
"troop",0.0398009950248756
"tunnel",0.0398009950248756
"type",0.0398009950248756
"unusu",0.0398009950248756
"visibl",0.0398009950248756
"voic",0.0398009950248756
"wreck",0.0398009950248756
"account",0.0348258706467662
"affair",0.0348258706467662
"albert",0.0348258706467662
"amount",0.0348258706467662
"analysi",0.0348258706467662
"announc",0.0348258706467662
"articl",0.0348258706467662
"avoid",0.0348258706467662
"background",0.0348258706467662
"bank",0.0348258706467662
"beg",0.0348258706467662
"began",0.0348258706467662
"betray",0.0348258706467662
"big",0.0348258706467662
"bite",0.0348258706467662
"boat",0.0348258706467662
"boyfriend",0.0348258706467662
"bright",0.0348258706467662
"cabin",0.0348258706467662
"calm",0.0348258706467662
"camp",0.0348258706467662
"captiv",0.0348258706467662
"chanc",0.0348258706467662
"charact",0.0348258706467662
"climb",0.0348258706467662
"coffin",0.0348258706467662
"coma",0.0348258706467662
"communic",0.0348258706467662
"coron",0.0348258706467662
"crowd",0.0348258706467662
"deform",0.0348258706467662
"detain",0.0348258706467662
"diner",0.0348258706467662
"dive",0.0348258706467662
"downstair",0.0348258706467662
"drag",0.0348258706467662
"drain",0.0348258706467662
"drawer",0.0348258706467662
"eavesdrop",0.0348258706467662
"effort",0.0348258706467662
"entiti",0.0348258706467662
"everi",0.0348258706467662
"extrem",0.0348258706467662
"faith",0.0348258706467662
"fate",0.0348258706467662
"fetus",0.0348258706467662
"film",0.0348258706467662
"fit",0.0348258706467662
"flesh",0.0348258706467662
"fourth",0.0348258706467662
"fowley",0.0348258706467662
"full",0.0348258706467662
"goodby",0.0348258706467662
"hair",0.0348258706467662
"harm",0.0348258706467662
"highway",0.0348258706467662
"ignor",0.0348258706467662
"impli",0.0348258706467662
"import",0.0348258706467662
"inmat",0.0348258706467662
"insert",0.0348258706467662
"inspect",0.0348258706467662
"institut",0.0348258706467662
"intern",0.0348258706467662
"invis",0.0348258706467662
"lake",0.0348258706467662
"lot",0.0348258706467662
"media",0.0348258706467662
"monster",0.0348258706467662
"motiv",0.0348258706467662
"mutil",0.0348258706467662
"necklac",0.0348258706467662
"needl",0.0348258706467662
"nine",0.0348258706467662
"nois",0.0348258706467662
"obtain",0.0348258706467662
"odd",0.0348258706467662
"older",0.0348258706467662
"panel",0.0348258706467662
"panic",0.0348258706467662
"planet",0.0348258706467662
"poison",0.0348258706467662
"potenti",0.0348258706467662
"pretend",0.0348258706467662
"propos",0.0348258706467662
"prostitut",0.0348258706467662
"rape",0.0348258706467662
"rapid",0.0348258706467662
"realiti",0.0348258706467662
"reflect",0.0348258706467662
"regard",0.0348258706467662
"resembl",0.0348258706467662
"reveng",0.0348258706467662
"roof",0.0348258706467662
"safeti",0.0348258706467662
"scienc",0.0348258706467662
"session",0.0348258706467662
"side",0.0348258706467662
"soul",0.0348258706467662
"spent",0.0348258706467662
"split",0.0348258706467662
"stick",0.0348258706467662
